Method	dataset	nl	ei1	ei2	fp	fn	ad	rf
out_final	50	26	22	23	2	1	out_final50	0.066666667
out_final	50	26	23	23	1	1	out_final50	0.043478261
out_final	50	26	22	23	3	2	out_final50	0.111111111
out_final	50	26	21	23	2	0	out_final50	0.045454545
out_final	50	26	23	23	2	2	out_final50	0.086956522
out_final	50	26	20	23	11	8	out_final50	0.441860465
Astral	250	26	23	23	15	15	Astral250	0.652173913
Astral	250	26	23	23	4	4	Astral250	0.173913043
Astral	250	26	23	23	7	7	Astral250	0.304347826
Astral	250	26	23	23	0	0	Astral250	0
Astral	250	26	23	23	2	2	Astral250	0.086956522
Astral	250	26	23	23	2	2	Astral250	0.086956522
Astral	250	26	23	23	14	14	Astral250	0.608695652
Astral	250	26	23	23	3	3	Astral250	0.130434783
svd	250	26	23	23	15	15	svd250	0.652173913
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	4	4	svd250	0.173913043
svd	250	26	23	23	6	6	svd250	0.260869565
svd	250	26	23	23	6	6	svd250	0.260869565
svd	250	26	23	23	5	5	svd250	0.217391304
svd	250	26	23	23	10	10	svd250	0.434782609
svd	250	26	23	23	11	11	svd250	0.47826087
out_final	250	26	19	23	15	11	out_final250	0.619047619
out_final	250	26	20	23	4	1	out_final250	0.11627907
out_final	250	26	22	23	5	4	out_final250	0.2
out_final	250	26	21	23	2	0	out_final250	0.045454545
out_final	250	26	23	23	1	1	out_final250	0.043478261
out_final	250	26	23	23	2	2	out_final250	0.086956522
out_final	250	26	20	23	11	8	out_final250	0.441860465
out_final	250	26	22	23	4	3	out_final250	0.155555556
Astral	250	26	23	23	5	5	Astral250	0.217391304
Astral	250	26	23	23	15	15	Astral250	0.652173913
Astral	250	26	23	23	4	4	Astral250	0.173913043
Astral	250	26	23	23	3	3	Astral250	0.130434783
Astral	250	26	23	23	2	2	Astral250	0.086956522
Astral	250	26	23	23	5	5	Astral250	0.217391304
Astral	250	26	23	23	1	1	Astral250	0.043478261
Astral	250	26	23	23	2	2	Astral250	0.086956522
Astral	250	26	23	23	14	14	Astral250	0.608695652
svd	250	26	23	23	6	6	svd250	0.260869565
svd	250	26	23	23	15	15	svd250	0.652173913
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	9	9	svd250	0.391304348
svd	250	26	23	23	3	3	svd250	0.130434783
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	2	2	svd250	0.086956522
svd	250	26	23	23	5	5	svd250	0.217391304
svd	250	26	23	23	10	10	svd250	0.434782609
out_final	250	26	23	23	3	3	out_final250	0.130434783
out_final	250	26	19	23	15	11	out_final250	0.619047619
out_final	250	26	20	23	4	1	out_final250	0.11627907
out_final	250	26	22	23	2	1	out_final250	0.066666667
out_final	250	26	23	23	1	1	out_final250	0.043478261
out_final	250	26	22	23	3	2	out_final250	0.111111111
out_final	250	26	21	23	2	0	out_final250	0.045454545
out_final	250	26	23	23	2	2	out_final250	0.086956522
out_final	250	26	20	23	11	8	out_final250	0.441860465
